status file for recon-all
Mon Jan  1 22:25:12 UTC 2018
#@# MotionCor Mon Jan  1 22:25:25 UTC 2018
#@# Talairach Mon Jan  1 22:25:50 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 22:28:51 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 22:28:51 UTC 2018
#@# Intensity Normalization Mon Jan  1 22:33:00 UTC 2018
#@# Skull Stripping Mon Jan  1 22:37:45 UTC 2018
#@# EM Registration Mon Jan  1 23:20:11 UTC 2018
#@# CA Normalize Tue Jan  2 00:07:41 UTC 2018
#@# CA Reg Tue Jan  2 00:11:39 UTC 2018
#@# SubCort Seg Tue Jan  2 08:53:09 UTC 2018
#@# Merge ASeg Tue Jan  2 11:32:43 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 11:32:43 UTC 2018
#@# Mask BFS Tue Jan  2 11:40:58 UTC 2018
#@# WM Segmentation Tue Jan  2 11:41:02 UTC 2018
#@# Fill Tue Jan  2 11:46:38 UTC 2018
#@# Tessellate lh Tue Jan  2 11:48:37 UTC 2018
#@# Tessellate rh Tue Jan  2 11:48:52 UTC 2018
#@# Smooth1 lh Tue Jan  2 11:49:06 UTC 2018
#@# Smooth1 rh Tue Jan  2 11:49:17 UTC 2018
#@# Inflation1 lh Tue Jan  2 11:49:28 UTC 2018
#@# Inflation1 rh Tue Jan  2 11:50:35 UTC 2018
#@# QSphere lh Tue Jan  2 11:51:44 UTC 2018
#@# QSphere rh Tue Jan  2 11:58:30 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 12:05:19 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 12:05:19 UTC 2018
#@# Fix Topology lh Tue Jan  2 12:05:20 UTC 2018
#@# Fix Topology rh Tue Jan  2 14:06:33 UTC 2018
#@# Make White Surf lh Tue Jan  2 15:19:59 UTC 2018
#@# Make White Surf rh Tue Jan  2 15:28:50 UTC 2018
#@# Smooth2 lh Tue Jan  2 15:37:38 UTC 2018
#@# Smooth2 rh Tue Jan  2 15:37:50 UTC 2018
#@# Inflation2 lh Tue Jan  2 15:38:00 UTC 2018
#@# Inflation2 rh Tue Jan  2 15:39:08 UTC 2018
#@# Curv .H and .K lh Tue Jan  2 15:40:12 UTC 2018
#@# Curv .H and .K rh Tue Jan  2 15:43:00 UTC 2018
#@# Curvature Stats lh Tue Jan  2 15:45:43 UTC 2018
#@# Curvature Stats rh Tue Jan  2 15:45:51 UTC 2018
#@# Sphere lh Tue Jan  2 15:45:57 UTC 2018
#@# Sphere rh Tue Jan  2 16:59:39 UTC 2018
#@# Surf Reg lh Tue Jan  2 18:08:56 UTC 2018
#@# Surf Reg rh Tue Jan  2 19:59:05 UTC 2018
#@# Jacobian white lh Tue Jan  2 22:37:26 UTC 2018
#@# Jacobian white rh Tue Jan  2 22:37:31 UTC 2018
#@# AvgCurv lh Tue Jan  2 22:37:35 UTC 2018
#@# AvgCurv rh Tue Jan  2 22:37:39 UTC 2018
#@# Cortical Parc lh Tue Jan  2 22:37:42 UTC 2018
#@# Cortical Parc rh Tue Jan  2 22:38:20 UTC 2018
#@# Make Pial Surf lh Tue Jan  2 22:38:54 UTC 2018
#@# Make Pial Surf rh Tue Jan  2 23:10:30 UTC 2018
#@# Surf Volume lh Tue Jan  2 23:41:27 UTC 2018
#@# Surf Volume rh Tue Jan  2 23:41:35 UTC 2018
#@# Cortical ribbon mask Tue Jan  2 23:41:41 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 00:07:39 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 00:10:54 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 00:13:58 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 00:14:43 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 00:15:30 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 00:17:09 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 00:18:44 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 00:19:20 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 00:19:57 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 00:21:40 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 00:23:15 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 00:23:33 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 00:23:52 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 00:24:54 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 00:38:32 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 00:51:10 UTC 2018
#@# APas-to-ASeg Wed Jan  3 01:05:15 UTC 2018
#@# ASeg Stats Wed Jan  3 01:05:34 UTC 2018
#@# WMParc Wed Jan  3 01:18:52 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 01:53:24 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 02:07:07 UTC 2018
recon-all -s 3231 finished without error at Wed Jan  3 02:20:22 UTC 2018
