status file for recon-all
Wed Jan  3 08:26:44 UTC 2018
#@# MotionCor Wed Jan  3 08:26:54 UTC 2018
#@# Talairach Wed Jan  3 08:27:30 UTC 2018
#@# Talairach Failure Detection Wed Jan  3 08:33:48 UTC 2018
#@# Nu Intensity Correction Wed Jan  3 08:33:48 UTC 2018
#@# Intensity Normalization Wed Jan  3 08:41:56 UTC 2018
#@# Skull Stripping Wed Jan  3 08:49:13 UTC 2018
#@# EM Registration Wed Jan  3 09:51:49 UTC 2018
#@# CA Normalize Wed Jan  3 10:50:52 UTC 2018
#@# CA Reg Wed Jan  3 10:55:35 UTC 2018
#@# SubCort Seg Wed Jan  3 18:46:48 UTC 2018
#@# Merge ASeg Wed Jan  3 21:27:28 UTC 2018
#@# Intensity Normalization2 Wed Jan  3 21:27:28 UTC 2018
#@# Mask BFS Wed Jan  3 21:36:48 UTC 2018
#@# WM Segmentation Wed Jan  3 21:36:54 UTC 2018
#@# Fill Wed Jan  3 21:42:30 UTC 2018
#@# Tessellate lh Wed Jan  3 21:44:42 UTC 2018
#@# Tessellate rh Wed Jan  3 21:44:59 UTC 2018
#@# Smooth1 lh Wed Jan  3 21:45:16 UTC 2018
#@# Smooth1 rh Wed Jan  3 21:45:28 UTC 2018
#@# Inflation1 lh Wed Jan  3 21:45:40 UTC 2018
#@# Inflation1 rh Wed Jan  3 21:46:52 UTC 2018
#@# QSphere lh Wed Jan  3 21:48:02 UTC 2018
#@# QSphere rh Wed Jan  3 21:55:33 UTC 2018
#@# Fix Topology Copy lh Wed Jan  3 22:03:11 UTC 2018
#@# Fix Topology Copy rh Wed Jan  3 22:03:11 UTC 2018
#@# Fix Topology lh Wed Jan  3 22:03:11 UTC 2018
#@# Fix Topology rh Wed Jan  3 22:57:40 UTC 2018
#@# Make White Surf lh Wed Jan  3 23:38:54 UTC 2018
#@# Make White Surf rh Wed Jan  3 23:48:21 UTC 2018
#@# Smooth2 lh Wed Jan  3 23:58:37 UTC 2018
#@# Smooth2 rh Wed Jan  3 23:58:49 UTC 2018
#@# Inflation2 lh Wed Jan  3 23:59:00 UTC 2018
#@# Inflation2 rh Thu Jan  4 00:00:10 UTC 2018
#@# Curv .H and .K lh Thu Jan  4 00:01:23 UTC 2018
#@# Curv .H and .K rh Thu Jan  4 00:04:10 UTC 2018
#@# Curvature Stats lh Thu Jan  4 00:07:01 UTC 2018
#@# Curvature Stats rh Thu Jan  4 00:07:10 UTC 2018
#@# Sphere lh Thu Jan  4 00:07:17 UTC 2018
#@# Sphere rh Thu Jan  4 02:05:16 UTC 2018
#@# Surf Reg lh Thu Jan  4 03:46:35 UTC 2018
#@# Surf Reg rh Thu Jan  4 05:34:57 UTC 2018
#@# Jacobian white lh Thu Jan  4 07:33:05 UTC 2018
#@# Jacobian white rh Thu Jan  4 07:33:09 UTC 2018
#@# AvgCurv lh Thu Jan  4 07:33:13 UTC 2018
#@# AvgCurv rh Thu Jan  4 07:33:16 UTC 2018
#@# Cortical Parc lh Thu Jan  4 07:33:20 UTC 2018
#@# Cortical Parc rh Thu Jan  4 07:33:50 UTC 2018
#@# Make Pial Surf lh Thu Jan  4 07:34:20 UTC 2018
#@# Make Pial Surf rh Thu Jan  4 08:02:41 UTC 2018
#@# Surf Volume lh Thu Jan  4 08:33:18 UTC 2018
#@# Surf Volume rh Thu Jan  4 08:33:24 UTC 2018
#@# Cortical ribbon mask Thu Jan  4 08:33:31 UTC 2018
#@# Parcellation Stats lh Thu Jan  4 08:58:46 UTC 2018
#@# Parcellation Stats rh Thu Jan  4 09:01:40 UTC 2018
#@# Cortical Parc 2 lh Thu Jan  4 09:04:34 UTC 2018
#@# Cortical Parc 2 rh Thu Jan  4 09:05:13 UTC 2018
#@# Parcellation Stats 2 lh Thu Jan  4 09:05:53 UTC 2018
#@# Parcellation Stats 2 rh Thu Jan  4 09:07:20 UTC 2018
#@# Cortical Parc 3 lh Thu Jan  4 09:08:50 UTC 2018
#@# Cortical Parc 3 rh Thu Jan  4 09:09:22 UTC 2018
#@# Parcellation Stats 3 lh Thu Jan  4 09:09:54 UTC 2018
#@# Parcellation Stats 3 rh Thu Jan  4 09:11:19 UTC 2018
#@# WM/GM Contrast lh Thu Jan  4 09:12:49 UTC 2018
#@# WM/GM Contrast rh Thu Jan  4 09:13:02 UTC 2018
#@# Relabel Hypointensities Thu Jan  4 09:13:14 UTC 2018
#@# AParc-to-ASeg aparc Thu Jan  4 09:14:07 UTC 2018
#@# AParc-to-ASeg a2009s Thu Jan  4 09:26:17 UTC 2018
#@# AParc-to-ASeg DKTatlas Thu Jan  4 09:38:19 UTC 2018
#@# APas-to-ASeg Thu Jan  4 09:50:24 UTC 2018
#@# ASeg Stats Thu Jan  4 09:50:38 UTC 2018
#@# WMParc Thu Jan  4 10:00:47 UTC 2018
#@# BA_exvivo Labels lh Thu Jan  4 10:25:22 UTC 2018
#@# BA_exvivo Labels rh Thu Jan  4 10:34:46 UTC 2018
recon-all -s 3369 finished without error at Thu Jan  4 10:44:06 UTC 2018
